gene,label
STIM1,NA
TRPC1,NA
NOS1,NA
ATP2B4,NA
ABCC9,NA
KCNJ11,NA
HADHA,NA
HADHB,NA
GTF2E2,NA
GTF2E1,NA
GTF2A2,NA
GTF2A1,NA
VANGL2,NA
SCRIB,NA
DVL2,NA
PARD6A,0
GRB2,NA
GAB1,NA
EGFR,1
EGF,1
PIK3CA,1
PIK3R1,1
SRC,1
PXN,NA
CLPS,NA
PNLIP,NA
GNB1,NA
GNGT1,NA
CNGA1,NA
CNGB1,NA
FNTB,NA
FNTA,NA
RAD50,NA
MRE11,0
KPNA2,NA
NBN,1
KAT5,NA
ATM,1
BAZ1B,NA
SMARCA5,NA
UBE2I,NA
SUMO1,NA
UBE2V2,NA
UBE2N,NA
BARD1,1
BRCA1,1
SUMO2,0
MDC1,NA
HERC2,NA
ATRIP,NA
ATR,1
TIMELESS,NA
TIPIN,NA
PPP4R2,NA
PPP4C,NA
RAD51C,NA
XRCC3,1
EME2,NA
MUS81,NA
EME1,NA
BRCA2,1
RAD51,1
ERCC4,1
ERCC1,1
XRCC1,1
LIG3,NA
XRCC6,1
XRCC5,NA
XRCC4,NA
LIG4,NA
HEXB,NA
HEXA,NA
EXT2,1
EXT1,1
SOS1,NA
CDK1,NA
CCNB1,NA
PCF11,NA
CLP1,1
TEAD1,NA
YAP1,NA
TEAD2,NA
TEAD3,NA
TEAD4,NA
CDK8,NA
CCNC,1
SMAD7,NA
RNF111,NA
PTEN,1
TP53,1
TSC1,1
TSC2,1
SCO2,NA
RRM2B,NA
GLS2,NA
IGFBP3,1
PMAIP1,NA
BID,NA
TP53AIP1,NA
ZNF420,NA
STEAP3,NA
BNIP3L,NA
TRIAP1,NA
AIFM2,0
TP53INP1,NA
APAF1,NA
PIDD1,NA
CRADD,NA
NLRC4,NA
CASP6,NA
CASP10,NA
NDRG1,1
BCL2L14,0
BIRC5,NA
BCL6,1
ZNF385A,NA
ARID3A,0
E2F7,NA
E2F8,NA
GADD45A,0
AURKA,1
PCNA,1
BAX,1
SFN,NA
PLK2,NA
PLK3,NA
RGCC,0
PLAGL1,NA
ATF2,NA
JUN,1
FOS,NA
PMS2,1
MLH1,1
FANCC,1
DDB2,1
PRDM1,1
MDM2,1
MDM4,1
CCNG1,NA
HIPK2,NA
PIN1,1
HIPK1,0
SSRP1,NA
SUPT16H,NA
CSNK2A1,NA
CSNK2A2,NA
TPX2,NA
NOC2L,NA
CDK5R1,NA
CDK5,NA
POU4F1,NA
POU4F2,0
BANP,NA
PHF20,NA
L3MBTL1,0
EHMT2,NA
EHMT1,NA
TFAP2A,NA
DEK,1
TFAP2C,NA
WWOX,NA
TFAP2B,NA
YEATS4,NA
ESR1,1
ATAD2,NA
VEGFA,1
TGFA,1
CDKN1A,1
RUNX1,1
TP73,NA
ZFPM1,NA
GATA1,1
CTSK,NA
SERPINB13,NA
CCND1,1
CDK4,1
ESRRA,NA
PPARGC1A,NA
TWIST1,NA
RUNX2,NA
NKX3-2,NA
MSX2,NA
SMAD4,1
SMAD1,NA
RUNX3,1
SMAD3,1
TFDP1,NA
E2F6,0
TFDP2,NA
MGA,NA
MAX,1
SUPT4H1,NA
SUPT5H,NA
ELOB,0
ELOC,NA
GTF2F1,NA
GTF2F2,NA
NCBP2,NA
NCBP1,NA
TAP1,NA
TAP2,NA
AMN,NA
CUBN,NA
MMUT,0
MMAA,NA
FASLG,1
FAS,1
BAG4,NA
TNFRSF1A,NA
TNF,1
TAX1BP1,NA
TNFAIP3,1
TNFRSF10A,NA
TNFRSF10D,NA
TNFRSF10B,NA
NGF,NA
NGFR,NA
IRAK1,NA
MYD88,1
NFKB1,NA
RELA,NA
UBE2B,NA
RAD18,NA
WDR48,NA
USP1,NA
REV3L,NA
MAD2L2,NA
RCHY1,NA
POLH,NA
TRIM25,NA
UBE2L6,NA
UBA7,0
ISG15,NA
SUMO3,NA
FAAP24,0
FANCM,NA
CENPX,0
CENPS,0
FANCI,NA
FANCD2,1
PCCA,NA
PCCB,NA
MCCC2,NA
MCCC1,NA
CLCF1,NA
CRLF1,NA
PRKCSH,NA
GANAB,NA
CALR,1
CANX,NA
RAD51B,1
NME2,NA
NME1,1
APPL1,NA
DCC,1
MAGED1,NA
UNC5A,NA
PPP3R1,NA
PPP3CC,NA
BCL2,1
BAD,1
BAK1,NA
CYCS,NA
XIAP,1
CASP3,1
CASP7,NA
CASP9,1
DIABLO,0
DFFB,NA
DFFA,NA
KPNA1,NA
KPNB1,NA
PAK2,NA
ARHGAP10,NA
RIPK1,NA
RIPK3,NA
GCH1,NA
GCHFR,NA
UBE2V1,NA
TRAF6,NA
IRAK2,NA
HBEGF,NA
CAPZA2,NA
CAPZB,NA
CAPZA3,NA
CAPZA1,NA
GORASP1,NA
GOLGA2,NA
TGFBR1,NA
FKBP1A,NA
RASGRF2,NA
RASGRF1,NA
GRIA2,NA
GRIA1,NA
TYK2,NA
IFNAR1,NA
TFB2M,NA
POLRMT,NA
DGCR8,1
DROSHA,1
TSNAX,NA
TSN,NA
BAZ2A,NA
DNMT3A,1
DNMT3L,NA
DNMT3B,1
CUL1,NA
CAND1,NA
TFRC,1
HFE,NA
TF,NA
HSD17B8,NA
CBR4,0
CCNB2,NA
SBF1,NA
MTMR2,NA
MTMR7,NA
MTMR9,NA
PIK3CB,1
PIK3R2,NA
PIK3CD,NA
PIK3R3,NA
PIK3R5,NA
PIK3CG,NA
PLEKHA2,NA
PTPN13,1
PLEKHA1,NA
MTMR6,NA
SBF2,NA
MTM1,NA
MTMR12,NA
GAB2,NA
ITPR1,NA
MRVI1,NA
PTPN6,1
PECAM1,NA
PTPN11,1
IL6R,NA
IL6,1
STAT1,NA
STAT3,1
KDR,1
HRG,NA
PLG,NA
ANXA2,NA
S100A10,NA
SERPINF2,0
PLAU,1
PLAUR,1
ATP7A,NA
PDZD11,NA
CLCN7,NA
OSTM1,NA
TXN,NA
TXNIP,NA
NLRP3,NA
MEFV,NA
PSTPIP1,NA
PYCARD,1
CGA,NA
LHB,NA
AVPR2,NA
AVP,NA
GCG,NA
GCGR,NA
RAMP3,NA
CALCR,NA
